Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours,petroleum liquids thousand megawatthours,petroleum coke thousand megawatthours,other gases thousand megawatthours,all utility-scale solar thousand megawatthours,geothermal thousand megawatthours,biomass thousand megawatthours,wood and wood-derived fuels thousand megawatthours,other biomass thousand megawatthours,hydro-electric pumped storage thousand megawatthours,other thousand megawatthours,small-scale solar photovoltaic thousand megawatthours
Feb 2017,291112.63811,86822.18986,82836.97484,63560.371,23881.76459,22091.10927,4135.35386,868.83817,723.04468,977.64447,2751.19905,1238.87247,4882.63976,3185.52143,1697.11833,-507.911,985.90096,1384.15481
Jan 2017,344413.96966,115332.80828,95661.24708,73120.612,26627.88134,20798.77101,3570.01671,1101.91257,943.86291,1046.56389,2323.98616,1406.96716,5399.56907,3502.17798,1897.39109,-435.366,1085.15419,1246.03055
Dec 2016,345389.34354,118746.8419,96416.06528,71662.429,22527.76456,23145.52474,3590.66861,1166.03851,869.36773,1037.46174,2423.52344,1453.88363,5559.9408,3615.44862,1944.49218,-752.869,1133.37122,1167.14517
Nov 2016,297065.26075,86940.46241,93950.8325,65178.776,18808.26528,19405.64211,4023.9887,1070.37857,798.6936,1013.32614,2767.14449,1363.84969,5282.47073,3391.22211,1891.24862,-606.895,1092.31423,1256.84421
Oct 2016,312939.72788,99193.94367,102897.98607,60733.343,17338.85654,20335.38978,4743.28769,936.61507,634.76234,913.24353,3191.22418,1353.16742,4869.18666,3176.08278,1693.10388,-560.77,1102.77963,1552.06351
Sep 2016,351560.04384,114137.76825,125683.45081,65448.176,16367.68403,16403.64017,5370.44767,946.13586,979.99866,1020.32852,3635.06928,1326.67585,5163.99418,3407.35783,1756.63635,-715.35,1162.47225,1735.37839
Aug 2016,409861.38602,135634.73331,154926.02521,71526.405,19569.54914,13589.32615,5910.82805,1257.56542,1077.89722,1063.9224,3969.18623,1324.26364,5582.54517,3722.23578,1860.30939,-902.068,1242.03512,1941.64182
Jul 2016,412043.3651,136316.43397,151716.16396,70349.347,21455.32093,17618.35712,5945.07716,1272.71474,1048.83453,1076.85183,3944.79289,1311.2153,5498.1061,3657.69796,1840.40814,-783.894,1219.12075,2000.28427
Jun 2016,367903.54176,116034.38414,131522.99713,67175.324,23236.86739,16303.4413,5401.26493,972.19923,1004.58983,1043.21891,3473.49784,1251.39266,5208.02896,3413.56266,1794.4663,-497.303,1174.90338,1927.76709
May 2016,316866.99237,81694.51025,110518.5333,66576.493,25486.38143,18847.89867,5304.17484,984.3906,973.76323,1053.31653,3425.18345,1341.84042,5096.13847,3187.12753,1909.01094,-320.717,1189.26001,1878.99139
Apr 2016,292986.59764,72112.8619,98973.7993,62731.845,25878.02878,20799.30345,4582.61853,832.99966,1006.0502,1132.00071,2879.68187,1208.96984,4778.48938,2967.00477,1811.48461,-451.878,1104.44557,1702.93666
Mar 2016,304427.42189,72172.52681,103933.12256,66148.894,27389.8772,21939.40933,4142.59215,874.26186,926.7932,1197.35327,2617.45225,1315.15866,5212.05091,3402.83315,1809.21776,-384.067,1084.58884,1525.1399
Feb 2016,313816.4003,92704.80797,98688.19908,65638.141,24139.01548,20138.2278,3386.13613,1299.20355,910.09911,1061.55823,2241.56342,1243.38381,5114.69319,3406.39038,1708.30281,-398.558,1036.06568,1144.57271
Jan 2016,352713.71943,113459.37975,110043.74673,72524.775,25614.54233,18466.40151,2465.40732,1395.75127,965.702,1194.84991,1485.80182,1332.00609,5394.8135,3600.26359,1794.54991,-311.758,1147.70755,979.6055
Dec 2015,324536.1236,89495.07284,109892.10285,69633.664,23165.56195,20098.37277,2483.85893,947.54537,749.39846,1109.8178,1569.89498,1376.98847,5556.64649,3587.39081,1969.25568,-280.702,1221.75963,913.96395
Nov 2015,300779.39425,87227.13603,102368.84183,60263.941,19337.83088,19681.71564,2711.70957,994.58397,715.30363,901.6693,1729.6613,1333.62825,5319.81655,3417.87318,1901.94337,-285.276,1190.54187,982.04827
Oct 2015,312210.41568,96758.50415,110109.75303,60570.921,16630.40155,16380.03853,3107.28733,944.53178,826.66066,906.47772,1909.57979,1323.03223,5095.37129,3252.21575,1843.15554,-443.327,1198.47096,1197.70754
Sep 2015,350190.22629,117985.6322,123110.83138,66476.372,16094.1224,13971.56651,3546.77556,1006.21885,1028.08673,1210.1203,2217.1241,1202.86145,5255.82833,3450.34084,1805.48749,-544.042,1175.50403,1329.65146
